date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:21:27	70030/70030	U-----	200	untouched ('OK')	text/html	etag:W/%220ff5cd0093c999c6e52bcdfe5d69a72d%22	https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA/Attributes/aria-current	ARIA.docset/Contents/Resources/Documents/developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA/Attributes/aria-current.html	(from https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA)
13:21:28	57339/57339	U-----	200	untouched ('OK')	text/html	etag:W/%22a1ae95208226f3dfdeeb48be920d3615%22	https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA/Attributes/aria-describedby	ARIA.docset/Contents/Resources/Documents/developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA/Attributes/aria-describedby.html	(from https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA)
13:21:28	56885/56885	U-----	200	untouched ('OK')	text/html	etag:W/%2210df3a224bc18f059003e9a32168588e%22	https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA/Attributes/aria-description	ARIA.docset/Contents/Resources/Documents/developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA/Attributes/aria-description.html	(from https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA)
13:21:28	68315/68315	U-----	200	untouched ('OK')	text/html	etag:W/%224be411a794aeda81cdb3b598d007b4ae%22	https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA/Attributes/aria-details	ARIA.docset/Contents/Resources/Documents/developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA/Attributes/aria-details.html	(from https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA)
13:21:29	33690/33690	---MCZ	200	added ('OK')	text/html	etag:W/%22fb4f234fa01cae8d0b5aa6be208b226d%22	https://developer.mozilla.org/fr/docs/Web/Accessibility/ARIA/ARIA_Guides	ARIA.docset/Contents/Resources/Documents/developer.mozilla.org/fr/docs/Web/Accessibility/ARIA/ARIA_Guides.html	(from https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA/ARIA_Guides)
13:21:29	56732/56732	U-----	200	untouched ('OK')	text/html	etag:W/%2291db6bbc6c352507a6792549214df4ee%22	https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA/Attributes/aria-dropeffect	ARIA.docset/Contents/Resources/Documents/developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA/Attributes/aria-dropeffect.html	(from https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA)
13:21:29	81360/81360	U-----	200	untouched ('OK')	text/html	etag:W/%22298a453364df16a056b733974dfaa23c%22	https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA/Attributes/aria-disabled	ARIA.docset/Contents/Resources/Documents/developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA/Attributes/aria-disabled.html	(from https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA)
13:21:29	64623/64623	U-----	200	untouched ('OK')	text/html	etag:W/%22da3469c4c63c1cb5c0155f8e5b16d4e0%22	https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA/Attributes/aria-errormessage	ARIA.docset/Contents/Resources/Documents/developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA/Attributes/aria-errormessage.html	(from https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA)
13:21:31	33874/33874	---MCZ	200	added ('OK')	text/html	etag:W/%2223838b4cf2866ab11a3d8d2bc0afe8cf%22	https://developer.mozilla.org/ja/docs/Web/Accessibility/ARIA/ARIA_Guides	ARIA.docset/Contents/Resources/Documents/developer.mozilla.org/ja/docs/Web/Accessibility/ARIA/ARIA_Guides.html	(from https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA/ARIA_Guides)
13:21:31	52062/52062	U-----	200	untouched ('OK')	text/html	etag:W/%229e0baae5bace3a2b8f1884083a45cc7a%22	https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA/Attributes/aria-grabbed	ARIA.docset/Contents/Resources/Documents/developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA/Attributes/aria-grabbed.html	(from https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA)
13:21:31	75199/75199	U-----	200	untouched ('OK')	text/html	etag:W/%22123c3b4cc18e36aa342480eea133c5fb%22	https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA/Attributes/aria-expanded	ARIA.docset/Contents/Resources/Documents/developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA/Attributes/aria-expanded.html	(from https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA)
13:21:31	51924/51924	U-----	200	untouched ('OK')	text/html	etag:W/%22cc868e337f1df159e00fb6a40b046060%22	https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA/Attributes/aria-flowto	ARIA.docset/Contents/Resources/Documents/developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA/Attributes/aria-flowto.html	(from https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA)
13:21:33	33312/33312	---MCZ	200	added ('OK')	text/html	etag:W/%2275ec323d68a8a9471b79dcf29c03e763%22	https://developer.mozilla.org/pt-BR/docs/Web/Accessibility/ARIA/ARIA_Guides	ARIA.docset/Contents/Resources/Documents/developer.mozilla.org/pt-BR/docs/Web/Accessibility/ARIA/ARIA_Guides.html	(from https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA/ARIA_Guides)
13:21:33	61679/61679	U-----	200	untouched ('OK')	text/html	etag:W/%22820c5ffd48386d2e1b86bd76ffd72200%22	https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA/Attributes/aria-haspopup	ARIA.docset/Contents/Resources/Documents/developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA/Attributes/aria-haspopup.html	(from https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA)
